ALL TISSUES,,
Tissue ,Permittivity,Elec. Cond. (S/m)
Air,1,0
Bile,70.2,1.84
Blood,61.4,1.54
Blood Plasma,0,0
Blood Serum,0,0
Blood Vessel Wall,44.8,0.696
Bone (Cancellous),20.8,0.34
Bone (Cortical),12.5,0.143
Bone Marrow (Red),11.3,0.228
Bone Marrow (Yellow),5.5,0.0407
Brain,49.4,1.26
Brain (Grey Matter),52.7,0.942
Brain (White Matter),38.9,0.591
Breast Fat,5.42,0.049
Breast Gland,59.7,1.04
Bronchi,42,0.771
Bronchi lumen,1,0
Cartilage,42.7,0.782
Cerebellum,49.4,1.26
Cerebrospinal Fluid,68.6,2.41
Cervix,49.8,0.959
Commissura Anterior,38.9,0.591
Commissura Posterior,38.9,0.591
Connective Tissue,45.8,0.718
Diaphragm,55,0.943
Ductus Deferens,44.8,0.696
Dura,44.4,0.961
Epididymis,60.6,1.21
Esophagus,65.1,1.19
Esophagus Lumen,1,0
Eye (Cornea),55.2,1.39
Eye (Lens),35.8,0.485
Eye (Sclera),55.3,1.17
Eye (Vitreous Humor),68.9,1.64
Eye Lens (Cortex),46.6,0.793
Eye Lens (Nucleus),35.8,0.485
Fat,11.3,0.109
Fat (Average Infiltrated),11.3,0.109
Fat (Not Infiltrated),5.46,0.051
Gallbladder,59.1,1.26
Heart Lumen,61.4,1.54
Heart Muscle,59.9,1.23
Hippocampus,52.7,0.942
Hypophysis,59.7,1.04
Hypothalamus,52.7,0.942
Intervertebral Disc,43.5,1.11
Kidney,58.7,1.39
Kidney (Cortex),58.7,1.39
Kidney (Medulla),58.7,1.39
Large Intestine,57.9,1.08
Large Intestine Lumen,55,0.943
Larynx,42.7,0.782
Liver,46.8,0.855
Lung,22,0.457
Lung (Deflated),51.4,0.858
Lung (Inflated),22,0.457
Lymph,0,0
Lymphnode,79.7,0.724
Mandible,12.5,0.143
Medulla Oblongata,49.4,1.26
Meniscus,42.7,0.782
Midbrain,49.4,1.26
Mucous Membrane,55,0.943
Muscle,55,0.943
Nerve,32.5,0.574
Ovary,50.5,1.29
Pancreas,59.7,1.04
Penis,44.8,0.696
Pharynx,1,0
Pineal Body,59.7,1.04
Placenta,61.4,1.54
Pons,49.4,1.26
Prostate,60.6,1.21
SAT (Subcutaneous Fat),11.3,0.109
Salivary Gland,76,0.815
Seminal vesicle,60.6,1.21
Skin,41.4,0.867
Skull Cancellous,20.8,0.34
Skull Cortical,12.5,0.143
Small Intestine,59.5,2.17
Small Intestine Lumen,55,0.943
Spinal Cord,32.5,0.574
Spleen,57.2,1.27
Stomach,65.1,1.19
Stomach Lumen,55,0.943
Tendon\Ligament,45.8,0.718
Testis,60.6,1.21
Thalamus,52.7,0.942
Thymus,52.2,0.742
Thyroid Gland,59.7,1.04
Tongue,55.3,0.936
Tooth,12.5,0.143
Tooth (Dentine),12.5,0.143
Tooth (Enamel),12.5,0.143
Trachea,42,0.771
Trachea Lumen,1,0
Ureter\Urethra,44.8,0.696
Urinary Bladder Wall,18.9,0.383
Urine,50,1.75
Uterus,61.1,1.27
Vagina,57.9,1.08
Vertebrae,12.5,0.143
Water,84.5,0.186
